ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
88,c28629a3-1be1-4420-915d-aaa1b16867aa,Pool,89,1,0.26,0.4,,0.2,,0.5,30,70,,,,,,,,,,,,,,0.75,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
89,93cdcf24-5b46-4247-bd52-55e077063bdd,Pool,90,1,0.4,,,,,,30,70,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
90,8e167042-63f4-4b8e-87e9-af817c4f7ff6,OCA,91,1,0.28,0.1,,,,0.9,80,20,,,,,,,,,,,,,,0.28,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
91,faebcc78-1afd-4d58-9273-fff553d4e30b,Riffle,92,1,0.28,,,,,,30,70,,,,,,,,,,,,,,0.32,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
92,1eefef7c-41e8-4a58-9d14-e2b840040038,Pool,93,1,0.4,0.3,,,,0.7,60,40,,,,,,,,,,,,,,0.82,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
93,9d863d32-b57e-45ba-851e-65f2de1d2606,Pool,94,1,0.3,0.3,,,,0.7,40,60,,,,,,,,,,,,,,0.9,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
94,2a844552-3b5c-4a26-9343-fef4bb1dd275,Pool,95,1,1.06,,,,,100,90,10,,,,,,,,,,,,,,1.06,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
96,6868d279-e742-49a9-90fd-3430551d86a9,Pool,96,7,0.42,,,,,100,20,80,,,,,,,,,,,,,,0.7,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
97,ba844896-f465-47cd-88b0-abcecb1558c1,Riffle,97,7,0.37,,,0.1,,0.9,20,70,10,,,,,,,,,,,,,0.65,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
98,3438b66b-58d4-4b2a-a9cf-f48cdaf3ef1f,Pool,98,7,0.4,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.94,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
99,087f3c45-3478-4484-986e-6df6d581dedf,Riffle,99,7,0.44,0.3,,,,0.7,40,50,10,,,,,,,,,,,,,0.75,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
100,500505af-41fb-462c-ae8b-a4c1494618c5,Pool,100,7,0.44,0.2,,,,0.8,50,40,10,,,,,,,,,,,,,0.98,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
101,08820acb-38e5-43fb-b528-52a211d4757b,Pool,101,7,0.37,,0.1,,,0.9,40,50,10,,,,,,,,,,,,,1.1,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
102,4d8c0b62-ba44-4959-b322-1b175cf919e9,Pool,102,7,0.45,,,,,100,60,40,,,,,,,,,,,,,,0.91,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
103,25333d13-bb0e-4e02-8a15-4ef87e125cd2,Riffle,103,7,0.44,,,,,100,70,30,,,,,,,,,,,,,,0.45,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
104,c7cb70f9-ef2c-4c15-bf91-c959b51ac9bd,Pool,104,7,0.3,,,,,100,60,40,,,,,,,,,,,,,,0.61,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
105,e6f77eb5-6c74-45c9-bd91-57353536603f,Riffle,105,7,0.43,0.3,,,,100,50,50,,,,,,,,,,,,,,0.55,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
106,a0d6abfa-2d6c-475c-9424-56f099ad3223,Pool,106,7,0.29,0.7,,,,0.3,50,50,,,,,,,,,,,,,,0.68,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
107,46e0b69e-f283-4fd1-994e-e3bf875be190,OCA,107,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
108,c81ca30b-7576-41de-98e8-bfe08f4ff81c,Riffle,108,1,0.35,0.1,,,,0.9,50,50,,,,,,,,,,,,,,0.8,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
109,583b9351-a6e0-49a0-b9fa-e96f215c523d,Pool,109,1,0.42,0.3,,,,0.7,60,40,,,,,,,,,,,,,,1.3,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
110,9c49acc7-615f-41a0-8c06-a495706fa6ce,Riffle,110,1,0.32,0.2,,0.1,,0.7,40,60,,,,,,,,,,,,,,0.6,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
111,2cf8c0eb-ca7a-4c96-b47a-97590088bba3,Pool,111,1,0.73,0.2,,0.1,,0.7,50,50,,,,,,,,,,,,,,0.96,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
112,6290f942-b1ae-496f-a585-4ec26161e28f,Run,112,1,0.4,,,,,100,60,30,10,,,,,,,,,,,,,0.93,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
113,dd30e32f-3e10-4382-b45e-36bb218177db,Riffle,113,1,0.24,0.1,,0.1,,0.8,50,50,,,,,,,,,,,,,,0.5,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
114,7dc8a703-51f8-4cfd-ad43-4ed97a2679cd,Pool,114,1,0.55,0.5,,0.3,,0.6,50,40,10,,,,,,,,,,,,,0.6,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
115,8a4026af-51ee-4448-aae2-8f8139032b61,Pool,115,1,0.5,0.3,,0.1,,0.7,50,50,,,,,,,,,,,,,,0.95,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
116,fef22696-b6ba-4785-bfea-ee69bb78b5de,Riffle,116,1,0.58,0.3,,,,0.7,50,40,10,,,,,,,,,,,,,0.6,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
117,6051f727-f2bf-4bce-a2f1-b8c1fb25fe01,Pool,117,1,0.35,0.3,,0.2,,0.7,30,60,10,,,,,,,,,,,,,1.12,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
118,28f0239f-6df7-4dc2-8540-389fba4aefed,Riffle,118,1,0.34,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
119,2b0e8ad8-4687-49b3-9b90-b534cb624a66,Pool,119,1,0.4,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.88,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
120,339fdb9b-f5ae-4e65-9356-48b8c968b1b2,Riffle,120,1,0.28,,,,,100,40,60,,,,,,,,,,,,,,0.45,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
121,6dded2be-867b-4433-9eb8-e6f03e82a5a9,Run,121,1,0.31,0.3,,0.3,,0.6,40,60,,,,,,,,,,,,,,0.84,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
122,8d82996c-0282-49d5-9650-fb95b32346b5,Pool,122,1,0.4,0.2,,0.2,,0.7,50,50,,,,,,,,,,,,,,1.16,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
123,79dea0a2-94e6-47da-8a5a-f841f0fbd006,OCA,123,1,0.28,0.2,,,,0.8,100,,,,,,,,,,,,,,,0.18,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
124,989f9908-be78-469f-8330-da065182e2c1,Run,124,1,0.5,0.4,,0.3,,0.6,60,40,,,,,,,,,,,,,,0.96,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
125,10d9a00c-7335-4e7d-bc7f-7c972aa9fcc7,Pool,125,1,0.37,0.1,,,,0.9,60,40,,,,,,,,,,,,,,0.8,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
126,c4de8c53-d71a-4a2a-9e01-507cf86ab210,Riffle,126,1,0.4,0.1,,0.1,0.1,0.8,40,50,10,,,,,,,,,,,,,0.73,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
127,dbdc45c1-b502-4da3-a9d8-e8346b2cb4ec,Pool,127,1,0.35,,,,,100,60,40,,,,,,,,,,,,,,0.78,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
128,82c2af75-e979-4901-8f60-8e468dc92f6d,Pool,128,1,0.44,,,0.1,,0.9,60,40,,,,,,,,,,,,,,0.79,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
129,d85a4ef9-73f0-41bf-a20e-0160667303fe,Pool,129,1,0.47,0.1,,0.1,,0.9,60,40,,,,,,,,,,,,,,1.04,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
130,4c619126-57d7-4e29-9347-dfb6b5bf5e29,Riffle,130,1,0.57,,,,,100,50,50,,,,,,,,,,,,,,0.57,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
131,29afb704-d2e5-4c9a-aaf2-5962982a0634,Pool,131,1,0.33,0.2,,0.1,,0.7,50,50,,,,,,,,,,,,,,1.05,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
132,0f7c885c-5299-4c7d-bb9d-eee0119d8120,Pool,132,1,0.73,0.3,,0.3,,0.6,60,40,,,,,,,,,,,,,,1.03,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
133,5c430733-3e41-45cc-9ee3-1df2f29b8706,OCA,133,1,0.15,0.1,,0.1,,0.9,100,,,,,,,,,,,,,,,0.15,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
134,52ab833e-dcea-4d0b-ac72-2670dbb78715,Run,134,1,0.62,0.2,,0.1,,0.8,50,40,10,,,,,,,,,,,,,0.8,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
135,cf914bf0-3a1d-4d09-9e8f-c9fa6325bf31,Pool,135,1,0.5,0.2,,0.2,,0.7,50,50,,,,,,,,,,,,,,1.9,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
136,548c25d1-a7bc-4e7e-aceb-24d5e7f97580,Pool,136,1,0.39,0.1,,,,0.9,50,50,,,,,,,,,,,,,,1.13,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
137,d90176df-f394-4e64-a532-f731a0c96fb5,SSC,137,8,0.33,0.1,,0.2,0.1,0.7,80,20,,,,,,,,,,,,,,0.6,3,3.9,12,2.9,4,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
